country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,38.2,,,,38.3,,,,
Albania,,,,,,,,,,,,,,,,,,29.6,,,24.2,,,14.6,,,,15.3,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,58.3,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,27.5,34.9,36,34.5,32.1,31.7,29.9,
Azerbaijan,,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,52.3,,,,,43.8,,,,,35.2,,,,,
Belarus,,,,,,,,,,,,,,,,50.8,,,,,16.7,15.5,12.4,9.7,9.5,8.9,11.5,9.4,9,7.9,8.7
Benin,,,,,,,,,,,,,,,,,,,,,,38.8,36.1,,38.4,,39.7,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,30.9,,,,,16.7,,,
Bolivia,,,,,,,,,,,,,,,,87,77.7,78.8,,77.7,77.6,76.5,77.3,73.6,66.4,,61.3,61.2,59.9,57.6,
Botswana,68,,,,,,,,40.4,,,,,,,,,44.8,,,,,,,24.3,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,65.8,,,,,,52.8,,,,,47.5,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,
Cambodia,,,,,,,,,,,,,,,,,,,54.2,,,51.4,,38.5,27.5,25.3,23.6,20.8,,,
Cameroon,,,,,,,,,,,,59.6,,,,,52.1,,,,,,55,,,,,,,56.8,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,
Chad,,,,,,,,,,,,,,,,,,58.4,,,,,,,,,52.5,,,,
Chile,,,51.5,,,38.8,,33.9,,31,,30.3,,27.5,,23.7,,,19.9,,,51.8,,,43.6,,37.7,,27.9,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.2,
Colombia,,,,,,,,,,,,,,,,,,61.7,56.8,58.3,56.4,,,56.6,53.7,49.7,46.1,46.8,42.8,41.4,40.3
